Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
presentation,PREGNANCY,preg_bbresl,radio,Test result from mother's infection of interest ,"1, Positive | 0, Negative | 99, Unknown",,,,,[preg_bbtest] = '1',,This refers to the result of testing the baby for the mother's infection of interest.,Indicate the test result.,,,,,,1,,1,1,,
presentation,INFANT: less than 12 months old,infa_brtwei,,Birth weight (select units),,,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,,,SNOMED,"47340003, Birth weight (finding)","C0005612, Birth weight",,,1,,,1,,
presentation,INFANT: less than 12 months old,infa_brtwei_kg,number,Birth weight (kg),,number,0,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the first weight of a newborn obtained after birth in kilograms (kg).,Indicate the birth weight in kilograms (kg).,SNOMED,"364589006, Birth weight (observable entity)",,,,1,,1,1,,
presentation,INFANT: less than 12 months old,infa_brtwei_lb,number,Birth weight (lb),,number,0,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the first weight of a newborn obtained after birth in pounds (lb).,Indicate the birth weight in pounds (lb).,SNOMED,"364589006, Birth weight (observable entity)",,,,1,,,1,,
presentation,INFANT: less than 12 months old,infa_outcome,radio,Gestational outcome,"1, Term birth (>=37wk GA) | 2, Preterm birth (< 37wk GA) | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the gestational age (GA) of the infant at delivery. Pre-term refers to an infant born before 37 weeks and 0 days gestational age.,Indicate 'Term birth' if gestational age (GA) at delivery >= 37 weeks and 'Preterm birth' if GA at delivery < 37 weeks. ,SNOMED,"1, 21243004 |Term birth of newborn (finding)| 2, 367494004 |Premature birth of newborn (finding)|","1, C0233324 Term birth| 2, C4011994 Preterm birth",,,1,,1,1,,
presentation,INFANT: less than 12 months old,infa_brefed,radio,Breastfed,"1, Yes-currently breastfeeding | 2, Yes-breastfeeding discontinued | 0, No | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the current breastfeeding regimen for the infant. ,Indicate the breastfeeding status of infant.,SNOMED,"1, 1260078007 | Maternal breastfeeding (finding) | 2, 169746009 | Breastfeeding stopped (finding) |","C0006147, Breast feeding",,,1,,1,1,,
presentation,INFANT: less than 12 months old,infa_aprvac,radio,Vaccinations appropriate for age/country,"1, Yes | 0, No | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the vaccination status according to the age of the infant and country-specific recommendations.,"Indicate 'Yes', if the infant is appropriately vaccinated for age with respect to country-specific recommendations.",SNOMED,"713404003, Vaccination given (situation)","C0042196, Vaccination",,,1,,1,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrneurolo,radio,Chronic neurological disorder,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Includes disorders of the brain, spinal cord, cranial nerves, peripheral nerves, nerve roots, autonomic nervous system, neuromuscular junction, and muscle. This can include any of cerebral palsy, multiple sclerosis, motor neurone disease, muscular dystrophy, myasthenia gravis, Parkinson's disease, stroke, and severe learning difficulty.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"118940003, Disorder of the nervous system (disorder)","C0027765, Nervous system disorder",,risk_factor_comor,1,1,,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_dementia,radio,Dementia,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as evidence from the history and mental status examination that indicates major impairment in learning and memory as well as impairment in at least one of the following: handling complex tasks; reasoning ability; spatial ability and orientation; language. The cognitive symptoms must significantly interfere with the individual's work performance, usual social activities, or relationships with other people. This must represent a significant decline from a previous level of functioning. The disturbances are not occurring exclusively during the course of delirium, and the disturbances are not better accounted for by a major psychiatric diagnosis. Chronic cognitive deficit is included.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"52448006, Dementia","C1969275, Dementia",,risk_factor_comor,1,1,,1,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_strokecva,radio,Stroke / cerebrovascular accident,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"Defined as a sudden loss of neurological function secondary to haemorrhage or ischemia in the brain parenchyma due to a vascular event. Stroke may be a clinical diagnosis, with or without supportive radiological findings.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"230690007, Cerebrovascular accident","C3554760, Stroke",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_hemipleg,radio,Hemiplegia,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"This refers to severe or complete loss of motor function on one side of the body; often caused by brain diseases that are localized to the cerebral hemisphere opposite to the side of weakness; less frequently, brain stem lesions; cervical spinal cord diseases, peripheral nervous system diseases, and other conditions may manifest as hemiplegia. ","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"50582007, Hemiplegia (disorder)","C0018991, Hemiplegia",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_parapleg,radio,Paraplegia,"1, Yes | 0, No | 99, Unknown",,,,,,Nervous system,"This refers to complete paralysis of the lower half of the body including both legs, often caused by damage to the spinal cord.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"60389000, Paraplegia (disorder)","C0030486, Paraplegia",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrcardiac,radio,Chronic cardiac disease (not hypertension),"1, Yes | 0, No | 99, Unknown",,,,,,Cardiac,Defined as a disease that progressively causes deterioration of the heart and its functioning.,"Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"128238001, Chronic heart disease (disorder)","C1290386, Chronic heart disease",,risk_factor_comor,1,1,1,1,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrcardiac_mi,radio,Myocardial infarction,"1, Yes | 0, No | 99, Unknown",,,,,[comor_chrcardiac]='1',Cardiac,"Defined as gross necrosis of the myocardium, as a result of interruption of the blood supply to the area, as in coronary thrombosis. This includes previous (history of) myocardial infarction.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"22298006, Myocardial infarction (disorder)","C0027051, Myocardial Infarction",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrcardiac_chf,radio,Congestive heart failure,"1, Yes | 0, No | 99, Unknown",,,,,[comor_chrcardiac]='1',Cardiac,"Defned as failure of the heart to pump a sufficient amount of blood to meet the needs of the body tissues, resulting in tissue congestion and edema.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"42343007, Congestive heart failure (disorder)","C0018802, Congestive heart failure",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_hypertensi,radio,Hypertension (physician diagnosed),"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,"Defined as elevated arterial blood pressure diagnosed clinically (systolic blood pressure >140mmHg systolic and/or diastolic blood pressure >90mmHg), or for which a patient is prescribed an anti-hypertensive.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"38341003, Hypertensive disorder, systemic arterial (disorder)","C0020538, Hypertensive disease",,risk_factor_comor,1,1,1,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_perivascdis,radio,Peripheral vascular disease,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,This refers to deviation from or interruption of the normal structure or function of the blood vessels outside the heart; diseases of the peripheral as opposed to the cardiac circulation. ,"Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"400047006, Peripheral vascular disease (disorder)","C0085096, Peripheral Vascular Diseases",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrpulmona,radio,Chronic pulmonary disease (not asthma),"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"Defined as any pulmonary condition other than asthma, that is a disease or disorder of slow progression and long duration which causes continuous or episodic periods of illness and/or incapacity.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"413839001, Chronic lung disease","C0746102, Chronic Lung Disorder",,risk_factor_comor,1,1,1,1,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_asthma,radio,Asthma (physician diagnosed),"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"This is defined as clinician-diagnosed asthma, a chronic airway disorder characterized by variable and recurring symptoms of airflow obstruction, bronchial hyper-responsiveness, and/or underlying inflammation. Current pharmaceutical intervention - for prevention or treatment of symptoms - is not a pre-requisite for the inclusion of this diagnosis.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"195967001, Asthma (disorder)","C4229310, Asthma",,risk_factor_comor,1,1,1,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_peptulcdis,radio,Peptic ulcer disease,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"This refers to acid peptic injury of the digestive tract, resulting in mucosal break reaching the submucosa. Peptic ulcers are usually located in the stomach or proximal duodenum, but they can also be found in the oesophagus or Meckel's diverticulum.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition.",SNOMED,"13200003, Peptic ulcer (disorder)","C0030920, Peptic ulcer",,risk_factor_comor,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to this current illness and is ongoing,comor_chrkidney,radio,Chronic kidney disease,"1, Yes | 0, No | 99, Unknown",,,,,,Renal,"This is defined as a clinician-diagnosed chronic kidney disease (CKD, also known as chronic kidney failure). The KDIGO and KDOQI definition of chronic kidney disease is kidney damage for 3 months, as defined by structural or functional abnormalities of the kidney, with or without decreased glomerular filtration rate (GFR), that can lead to decreased GFR, manifest by either: Pathologic abnormalities; or Markers of kidney damage, including abnormalities in the composition of the blood or urine, or abnormalities in imaging tests; or GFR <60 mL/min/1.73 m^2 for 3 months, with or without kidney damage.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. ",SNOMED,"709044004, Chronic kidney disease (disorder)",C1561643,,risk_factor_comor,1,1,1,1,1,
