Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
presentation,DEMOGRAPHICS,demog_race,checkbox,Race (select all that apply),"1, Arab | 2, Black | 3, East Asian | 4, South Asian | 5, South-East Asian | 6, West Asian | 7, Latin American | 8, White | 9, Aboriginal/First Nations/Indigenous | 88, Other | 99, Unknown",,,,,,,Race refers to a category of humankind that shares certain distinctive physical traits.,"Enter all that apply of the following choices. If 'Other', Write in full the name of the race of the patient in the space below. If the patient's race is not known, select 'Unknown'.",,,,1,1,1,1,,,1,,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_race_other,text,Specify other race,,,,,,[demog_race(88)]='1',,,,,,,1,1,1,1,,,,,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_ethnic,checkbox,Ethnic group,"1, Yoruba | 2, Ibo | 3, Hausa | 4, Ikwere | 5, Ogoni | 88, Other",,,,,,,"This refers to the patient's ethnicity or major ethnic group at birth. Please exclude nationality as nations often include many different ethnic groups (For example, Singaporean is the nationality but the ethnic grouping within Singapore could be East Asian, South Asian etc.).","Enter all that apply of the following choices. If 'Other' write in fill the name of the ethnic group of the patient. If the patient's ethnicity is not known, select 'Unknown'.",,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_ethnicoth,text,Specify other ethnic group,,,,,,[demog_ethnic(88)]='1',,This refers to the patient's ethnicity or major ethnic group at birth which was not specified above.,"If 'Other', Write in full the name of the ethnic group of the patient. Please do not enter a letter or number corresponding to a local/national ethnicity coding system.",,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_healthcare,radio,Employed as a healthcare worker,"1, Yes, patient facing | 2, Yes, laboratory | 3, Yes, no patients/laboratory | 0, No | 99, Unknown",,,,,,,"This refers to a patient that is employed in the healthcare industry. It includes those that deliver care in patient-facing settings (i.e. roles that involve interaction directly with patients) or non-patient facing setttings (e.g. laboratory staff, medical waste handlers). ","Select the single most appropriate option. Select 'No' if the patient is not employed in healthcare. Select 'Unknown', if the patient's status as healthcare employee is not known.",,,,1,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_occupation,radio,Primary location of occupation,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 4, Outdoors-animal contact (vet, animal farmer, abattoir worker) | 5, Outdoors-agriculture/forestry/fisheries | 6, Outdoors-DPS collector | 7, Outdoors-construction/industrial/mining | 8, Armed Forces | 9, Student | 88, Other | 99, Unknown",,,,,,,This refers to the location in which the patient conducts the majority of work related to their current occupation. ,"Select the single most appropriate option. Select 'Other' if the primary location is not available, write the location in the space provided below. Select 'Unknown', if the patient's primary location is not known.",,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,1,,
presentation,DEMOGRAPHICS,demog_occupation_oth,text,Specify other primary location of occupation,,,,,,[demog_occupation]='88',,This refers to an other primary location of occupation that was not specified above.,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_residence,radio,Patient's city of residence,"1, Same as health care facility | 2, Different from health care facility | 99, Unknown",,,,,,,This refers to the patient's city of residence in relation to the location of this health care facility.,"Select the single most appropriate option. If the patient's city of residence is different to the city in which this healthcare facility is located, Specify the patient's region of residence below. If the patient's city of residence is not known, select 'Unknown'.",,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_residence_oth,text,Specify other region of residence,,,,,,[demog_residence]='2',,,"Write the patients region of residence, if it differs from the location of this health care facility.",,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_subdistrict,text,Specify region (sub-district) of residence,,,,,,[demog_residence]='2',,,"Write the patients region or sub-district of residence, if it differs from the location of this health care facility.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,TRAVEL HISTORY,travel_travel14d,radio,Did the patient travel outside of their home region in the past 14 days?,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to travel to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began. If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location that was visited. Up to three locations can be entered. Please enter the name of the city/geographical area visited and the country.","Indicate 'Yes', if the if the patient has travelled away from their usual place of residence within 14 days of symptom onset.",,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,
presentation,TRAVEL HISTORY,travel_loc,notes,Specify all city/cities or town(s) and region(s) of travel,,,,,,[travel_travel14d] = '1',,,"If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location that was visited.",,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,
presentation,TRAVEL HISTORY,travel_enter,date_dmy,Date individual entered the country,,date_dmy,,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,TRAVEL HISTORY,travel_begin,date_dmy,Date when travel began,,date_dmy,,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_drinkdps,radio,Drinking raw date palm sap (DPS),"1, Yes | 0, No | 99, Unknown",,,,,,,,"Indicate 'Yes' if the patient reports to have consumed raw date palm sap (DPS) in the 14 days prior to first symptom onset. If the patient is unsure, Indicate 'Unknown'.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_drinkfdps,radio,Drinking fermented DPS,"1, Yes | 0, No | 99, Unknown",,,,,,,,"Indicate 'Yes' if the patient reports to have consumed fermented date palm sap (DPS) in the 14 days prior to first symptom onset. If the patient is unsure, Indicate 'Unknown'.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_batbir,radio,Eating bat/bird eaten fruits,"1, Yes | 0, No | 99, Unknown",,,,,,,Refers to the consumption of food contaminated by fluids from birds or bats.,"Indicate 'Yes' if the patient reports to have consumed fruit contaminated by fluids from birds or bats in the 14 days prior to first symptom onset. If the patient is unsure, Indicate 'Unknown'.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_similar,radio,Close contact with patient with similar illness,"1, Yes | 0, No | 99, Unknown",,,,,,,"Close contact refers to a patient who has provided care (including health care worker or family member) or had other similar close physical contact with a person exhibiting similar symptoms. It includes anyone who stayed at the same place (e.g. lived with, visited) as a person exhibiting similar symptoms. This close contact must have occured in the 14 days prior to first symptom onset for the participant. ",Indicate 'Yes' if the patient has had close contact with a person exhibiting similar symptoms/illness in the 14 days prior to first symptom onset. If 'Yes' Specify below.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_bat,radio,Contact with bat/s,"1, Yes | 0, No | 99, Unknown",,,,,,,"Refers to a patient who had direct physical contact or having been in close proximity with live/dead bat/s in the 14 days prior to first symptom onset. This can include being bitten by the specified animal; visiting an animal sanctuary or zoo housing the specified animal; and being involved in veterinary care, slaughtering or dissection of the specified animal.",Indicate 'Yes' if the patient has had exposure to bat/s in the 14 days prior to first symptom onset. If 'Yes' Specify below.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_pig,radio,Contact with pig/s,"1, Yes | 0, No | 99, Unknown",,,,,,,"Refers to a patient who had direct physical contact or having been in close proximity with live/dead pig/s in the 14 days prior to first symptom onset. This can include being bitten by the specified animal; visiting an animal sanctuary or zoo housing the specified animal; and being involved in veterinary care, slaughtering or dissection of the specified animal.",Indicate 'Yes' if the patient has had exposure to pig/s in the 14 days prior to first symptom onset. If 'Yes' Specify below.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_domani,radio,Contact with domestic animal/s,"1, Yes | 0, No | 99, Unknown",,,,,,,Refers to a patient who had direct physical contact or having been in close proximity with a domesticated animal (e.g. cats and dogs) or other animals kept within the home. Contact must have occurred in the 14 days prior to first symptom onset. ,Indicate 'Yes' if the patient has had exposure to domestic animals in the 14 days prior to first symptom onset. If 'Yes' Specify below.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
presentation,EXPOSURE HISTORY,expo14_other,radio,Other type of exposure history,"1, Yes | 0, No | 99, Unknown",,,,,,,,Indicate 'Yes' if there are other important exposures this patient has had in the 14 days prior to first symptom onset. If 'Yes' Specify below.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,EXPOSURE HISTORY,expo14_othersp,text,Specify other type of exposure,,,,,,[expo14_other]='1',,,"Indicate here other types of exposures this patient has had, in the 14 days prior to first symptom onset, you feel is important to record about this acute illness.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
presentation,PREGNANCY,preg_pregnant,radio,Pregnant,"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' and [demog_age_units]='1',,"This refers to a women who is currently pregnant, confirmed by a pregnancy test.","Indicate 'Yes', if the patient is pregnant. If the patient is of fertile age with no negative pregnancy test select 'Unknown'.  ",SNOMED,"77386006, Pregnant (finding)","C0549206, Pregnant",1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,PREGNANCY,preg_geswek,number,Gestational weeks assessment (weeks),,number,,,,[preg_pregnant] = '1',,This refers to the gestational age of the foetus (written in weeks). It can be calculated from the woman's last menstrual period (LMP) or calculated using the best obstetrical estimated due date (EDD) based on the following formula: Gestational Age = (280 - (EDD - Reference Date)). The reference date is the date in which you are trying to determine the gestational age.,Indicate the gestational age of the foetus with the approximate numder of weeks.,SNOMED,57036006 |Fetal gestational age (observable entity)|,"CL1385889, Gestational weeks",1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,PREGNANCY,preg_postpartum,radio,Post-partum (within 6 weeks of delivery),"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' and [preg_pregnant]<>1 and [demog_age_units]='1',,Defined as within six weeks of delivery.,"Indicate 'Yes', if the patient is in the post-partum period (within 6 weeks after delivery).",,,,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,PREGNANCY,preg_delvdt,date_dmy,Delivery date,,date_dmy,,today,,[preg_postpartum] = '1',,,Enter the date of delivery in day/month/year format.,,,,1,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,PREGNANCY,preg_bboutc,radio,Pregnancy outcome,"1, Live birth | 2, Still birth | 3, Termination",,,,,[preg_postpartum]='1',,This refers to the outcome of the aforementioned pregnancy.,,,,,1,,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,PREGNANCY,preg_gesweekout,number,Gestational weeks at pregnancy outcome,,number,,,,[preg_postpartum] = '1',,,Enter the gestational week of the child at the aforementioned pregnancy outcome.,,,,1,,1,1,,,,1,,1,1,1,1,,,,,,,,,,,,,,,
presentation,PREGNANCY,preg_bbtest,radio,Baby tested for Mother's infection/condition,"1, Yes | 0, No | 99, Unknown",,,,,[preg_postpartum] = '1',,,"Indicate 'Yes', if the child was tested for the confirmed or suspected infection or condition of the mother.",,,,1,1,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,PREGNANCY,preg_bbresl,radio,Test result,"1, Positive | 0, Negative | 99, Unknown",,,,,[preg_bbtest] = '1',,,,,,,1,1,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_brtwei,,Birth weight (select units),,,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,The first weight of a newborn obtained after birth. Ideally this is an objective measurement however and estimated birth weight is accepted.,Select the units in which birth weight is reported.,SNOMED,"47340003, Birth weight (finding)","C0005612, Birth weight",,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_brtwei_kg,number,Birth weight (kg),,number,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,,Indicate the birth weight in kilograms (kg).,,,,1,,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_brtwei_lb,number,Birth weight (lb),,number,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,,Indicate the birth weight in pounds (lb).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_outcome,radio,Gestational outcome,"1, Term birth (>=37wk GA) | 2, Preterm birth (< 37wk GA) | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the gestational age (GA) of the infant at delivery. Pre-term refers to an infant born before 37 weeks and 0 days gestational age.,,SNOMED,"1, 21243004 |Term birth of newborn (finding)| 2, 367494004 |Premature birth of newborn (finding)|","1, C0233324 Term birth| 2, C4011994 Preterm birth",1,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_gestest,text,"If <37wk, confirm estimated gestation",,,,,,[infa_outcome]='2',,,Enter the estimated gestation in weeks.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_brefed,radio,Breastfed,"1, Yes, currently breastfeeding | 2, Yes, breastfeeding discontinued | 0, No | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the current breastfeeding regimen for the infant. ,,SNOMED,"1, 1260078007 | Maternal breastfeeding (finding) | 2, 169746009 | Breastfeeding stopped (finding) |","C0006147, Breast feeding",1,1,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,
presentation,INFANT: less than 12 months old,infa_aprvac,radio,Vaccinations appropriate for age/country,"1, Yes | 0, No | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,This refers to the vaccination status according to the age of the infant and country-specific recommendations.,"Indicate 'Yes', if the infant is appropriately vaccinated for age with respect to country-specific recommendations.",,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to presentation or admission with this current illness and is ongoing (remains an active medical condition),comor_chrcardiac,radio,Chronic cardiac disease (not hypertension),"1, Yes | 0, No | 99, Unknown",,,,,,,"Defined as a disease that progressively causes deterioration of the heart and its functioning. In some cases the direct cause of the disease may not be established. Some causes may include an infection that infiltrates the bloodstream that causes damage to the heart or having a genetic imperfection. These could involve: Congenital Heart Disease (haemodynamically significant) is defined as any structural or functional cardiac disorder that is present from birth which results in (1) need for medication to control congestive heart failure or (2) moderate to severe pulmonary hypertension, or (3) cyanotic heart disease. Excludes asymptomatic ventricular septal defects and patent ductus arteriosus e.g. those where no medication is required. Congestive heart disease is defined as any structural or functional cardiac disorder that impairs the ability of the ventricle to fill with or eject blood. It is characterized by specific symptoms, such as dyspnoea and fatigue, and signs, such as fluid retention. There are many ways to assess cardiac function. However, there is no diagnostic test for heart failure, since it is largely a clinical diagnosis that is based upon a careful history and physical examination.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. Indicate 'No' if the patient does not have a history of this condition. Indicate 'Unknown' if it is not known whether the patient has a history of this condition or it is not ongoing.",SNOMED,"128238001, Chronic heart disease (disorder)","C1290386, Chronic heart disease",1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to presentation or admission with this current illness and is ongoing (remains an active medical condition),comor_hypertensi,radio,Hypertension (physician diagnosed),"1, Yes | 0, No | 99, Unknown",,,,,,,"Defined as elevated arterial blood pressure diagnosed clinically (systolic blood pressure >140mmHg systolic and/or diastolic blood pressure >90mmHg), or for which a patient is prescribed an anti-hypertensive.","Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. Indicate 'No' if the patient does not have a history of this condition. Indicate 'Unknown' if it is not known whether the patient has a history of this condition or it is not ongoing.",SNOMED,"38341003, Hypertensive disorder, systemic arterial (disorder)",C4014808,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: Existing prior to presentation or admission with this current illness and is ongoing (remains an active medical condition),comor_chrpulmona,radio,Chronic pulmonary disease (not asthma),"1, Yes | 0, No | 99, Unknown",,,,,,,Defined as any pulmonary condition other than asthma that is a disease or disorder of slow progression and long duration which causes continuous or episodic peroids of illness and/or incapacity.,"Indicate 'Yes', if this is condition existed prior to admission with this current illness and remains an active medical condition. Indicate 'No' if the patient does not have a history of this condition. Indicate 'Unknown' if it is not known whether the patient has a history of this condition or it is not ongoing.",SNOMED,"413839001, Chronic lung disease","C0746102, Chronic Lung Disorder",1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,
